Date,Open,High,Low,Close,Volume
2022/8/18,88.8,88.8,86.2,86.5,4.24M
2022/8/19,86.1,87.8,85.35,85.95,2.46M
2022/8/22,84.15,85.65,82.9,84.8,3.98M
2022/8/23,83.05,83.85,81.55,82.95,6.54M
2022/8/24,75,75.4,71.15,72.85,18.91M
2022/8/25,75,75.9,73.3,75.9,6.74M
2022/8/26,76.45,77.1,73.7,73.85,6.87M
2022/8/29,73,73.8,72.05,73.05,5.48M
2022/8/30,73.35,73.35,70.8,72.25,7.95M
2022/8/31,70.3,75.15,70.3,73.7,6.25M
2022/9/1,72.95,72.95,70.05,70.45,5.37M
2022/9/2,68.3,70.25,66.3,66.8,12.24M
2022/9/5,65.4,65.5,63.7,64,8.98M
2022/9/6,64.45,65.4,63.45,64.85,5.11M
2022/9/7,62.1,63.5,61.1,62.5,11.22M
2022/9/8,62.8,63.55,60.6,60.85,5.94M
2022/9/9,61.05,63.35,60.15,62.9,5.31M
2022/9/13,64.1,65.45,63.2,64.3,6.00M
2022/9/14,62.85,64.25,62.1,63.1,5.18M
2022/9/15,62.5,63.05,61.35,62.3,4.77M
2022/9/16,61.45,61.45,59.05,59.55,10.22M
2022/9/19,57.6,58.1,56.5,57.05,5.01M
2022/9/20,61.8,63.35,61.2,62.1,10.30M
2022/9/21,61.95,62.5,60.35,60.95,6.74M
2022/9/22,54.9,55.2,51.4,53.9,19.02M
2022/9/23,52.85,53.3,51,51.5,10.44M
2022/9/26,53.45,57.35,53.4,56,15.68M
2022/9/27,56.3,56.5,53.95,56.05,8.85M
2022/9/28,54.1,54.1,49.35,50.6,15.58M
2022/9/29,51.7,52.55,46.8,47.9,14.49M
2022/9/30,47.5,47.5,43.3,46,17.96M
2022/10/3,46.2,46.8,44.3,45.9,7.60M
2022/10/5,47.35,47.65,44.8,45.4,11.17M
2022/10/6,43.5,43.5,41.25,43.05,7.62M
2022/10/7,41.75,41.75,39.9,40.45,10.22M
2022/10/10,38.6,39.8,37.65,37.7,20.00M
2022/10/11,37.6,38.45,36.75,37,11.88M
2022/10/12,36.75,40.2,36.05,38.5,21.07M
2022/10/13,37.7,38.65,36.1,36.2,8.28M
2022/10/14,36.2,37.25,35.3,35.55,13.32M
2022/10/17,32.9,34.8,32.55,34.1,15.91M
2022/10/18,34.7,35.2,33.4,35.2,11.11M
2022/10/19,33.7,34,31.55,31.85,17.56M
2022/10/20,29.55,31.15,29.3,30.4,14.92M
2022/10/21,31.2,32.1,30.85,31.35,12.65M
2022/10/24,31,31,26.9,27.35,28.56M
2022/10/25,27.6,29.9,26.65,28.7,18.91M
